user_id,country
834778,UK
928468,US
822059,UK
711597,UK
710616,UK
909908,UK
811617,US
938122,US
887018,US
820683,US
697357,US
748296,US
666132,UK
668810,UK
940939,US
646414,US
907385,US
698200,US
738692,US
724651,US
662682,US
639818,US
920941,US
804632,US
684798,UK
766270,UK
857817,UK
750698,UK
721445,US
744732,UK
666209,US
652847,US
921903,US
908277,US
641084,US
739948,UK
907395,US
709491,US
790145,US
703168,US
845421,US
845791,US
795161,UK
877639,US
914295,US
779488,US
832716,US
838496,US
756470,US
923544,UK
830118,US
672535,US
662835,US
790684,US
638460,UK
715365,UK
645364,UK
779327,UK
891591,US
918487,US
715878,UK
886780,US
836826,US
662415,US
730702,US
810724,UK
813256,CA
727795,US
841116,UK
886442,US
927391,US
942405,CA
711782,US
867026,CA
826641,US
851094,UK
836150,UK
858798,US
816129,US
651221,US
755551,US
838794,US
869088,US
649793,UK
762513,US
935839,UK
779318,UK
804412,US
889675,US
935205,US
905654,UK
755619,US
930100,US
797059,US
759280,US
789850,US
743550,US
809670,US
684236,US
889498,US
822926,US
842181,US
791033,US
864858,UK
844178,US
744693,CA
733860,UK
830104,UK
853419,US
748426,UK
832249,US
721723,US
921951,US
649932,US
789875,UK
906859,US
784490,UK
873136,US
665919,CA
868184,US
790958,US
882327,UK
700980,US
736591,US
755841,US
657134,UK
769687,US
775515,US
901053,US
855448,US
940254,US
682613,US
679507,UK
692129,US
694974,US
855283,UK
854672,US
887605,US
843329,US
768206,US
667298,US
667844,UK
913010,US
659229,US
895348,US
691574,CA
754614,US
756608,US
808429,US
897791,US
754846,UK
922413,US
689776,UK
812245,UK
743252,UK
678755,US
897897,US
854777,US
794810,CA
716000,US
686800,UK
834172,UK
769569,UK
668833,US
804189,US
756776,US
664798,US
701132,US
822984,US
889399,UK
891014,UK
711420,US
820226,US
906845,UK
730548,US
671804,UK
861800,US
859603,US
880215,US
636407,US
943076,US
749512,UK
633307,US
801334,US
707807,US
754216,US
688096,UK
815665,US
849204,US
648234,UK
888356,CA
757585,US
631480,US
882096,UK
661722,US
710897,UK
647325,CA
749030,US
760772,CA
855141,US
735752,US
681205,UK
648698,UK
723326,US
729477,US
912845,US
864126,US
872295,US
822989,UK
923573,US
896285,CA
761417,US
805701,US
738189,US
646671,US
665866,UK
847051,US
889350,US
842363,US
809522,CA
832934,US
724050,US
912353,UK
636499,US
780083,UK
785082,CA
678305,UK
745192,US
821478,US
735565,CA
691110,US
681344,US
936399,UK
691339,US
743027,US
633506,UK
726819,UK
863064,UK
842674,UK
924065,US
721706,US
719255,UK
807896,US
919408,US
853203,US
665695,US
650073,CA
811692,US
657029,US
647006,US
827371,US
764620,US
897831,US
818640,US
655458,US
927139,US
938049,US
847044,US
650269,US
900817,US
781174,UK
711110,UK
704193,US
794764,US
849217,US
934760,US
